Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
25,"Wang, J Qin, X Xiang, Y Tan, N Pan",CAPTCHA recognition based on deep convolutional neural network,87,2019, aimspress.com, Math. Biosci. Eng,https://www.aimspress.com/fileOther/PDF/MBE/mbe-16-05-292.pdf,17
45,"Goswami, BM Powell, M Vatsa, R Singh…",FaceDCAPTCHA: Face detection based color image CAPTCHA,83,2014, Elsevier, Future Generation …,https://www.sciencedirect.com/science/article/pii/S0167739X12001690,8
56, Shiral,Persian/Arabic Baffletext CAPTCHA.,83,2006, Citeseer, J. Univers. Comput. Sci.,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0d3424e4f3726f52e53060dc88d1bbb19c526303,5
31,"Gao, H Liu, D Yao, X Liu…",An audio CAPTCHA to distinguish humans from computers,82,2010, ieeexplore.ieee.org, 2010 Third International …,https://ieeexplore.ieee.org/abstract/document/5557389/,6
35," El Ahmad, J Yan, WY Ng","CAPTCHA design: Color, usability, and security",81,2011, ieeexplore.ieee.org, IEEE Internet Computing,https://ieeexplore.ieee.org/abstract/document/5959144/,6
67,"Gao, X Liu, S Wang, R Dai",A new graphical password scheme against spyware by using CAPTCHA.,81,2009, cups.cs.cmu.edu, SOUPS,https://cups.cs.cmu.edu/soups/2009/posters/p4-gao.pdf,5
24,"Gao, D Yao, H Liu, X Liu…",A novel image based CAPTCHA using jigsaw puzzle,80,2010, ieeexplore.ieee.org, 2010 13th IEEE …,https://ieeexplore.ieee.org/abstract/document/5692499/,6
15, Hernande,"Pitfalls in CAPTCHA design and implementation: The Math CAPTCHA, a case study",78,2010, Elsevier, computers & security,https://www.sciencedirect.com/science/article/pii/S0167404809000728,6
38,Lopresti,Leveraging the CAPTCHA problem,75,2005, Springer, International Workshop on Human Interactive Proofs,https://link.springer.com/chapter/10.1007/11427896_7,4
26,"Lin, SY Huang, GB Bell…",A new CAPTCHA interface design for mobile devices,74,2011, researchportal.murdoch.edu.au, 12th Australasian …,https://researchportal.murdoch.edu.au/esploro/outputs/conferencePaper/A-new-CAPTCHA-interface-design-for/991005540363807891?skipUsageReporting=true&skipUsageReporting=true&recordUsage=false&recordUsage=false&institution=61MUN_INST,6
98,"Lazar, J Feng, T Brooks, G Melamed…",The SoundsRight CAPTCHA: an improved approach to audio human interaction proofs for blind users,74,2012, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/2207676.2208385,6
65," Ross, JA Halderman, A Finkelstein",Sketcha: a captcha based on line drawings of 3d models,69,2010, dl.acm.org, Proceedings of the 19th …,https://dl.acm.org/doi/abs/10.1145/1772690.1772774,5
82," Baird, MA Moll, SY Wang",ScatterType: A legible but hard-to-segment CAPTCHA,68,2005, ieeexplore.ieee.org, Eighth International Conference …,https://ieeexplore.ieee.org/abstract/document/1575681/,4
28,"Vikram, Y Fan, G Gu",SEMAGE: a new image-based two-factor CAPTCHA,68,2011, dl.acm.org, Proceedings of the 27th Annual Computer …,https://dl.acm.org/doi/abs/10.1145/2076732.2076766,5
21,"Yan, AS El Ahmad",Captcha security: A case study,66,2009, ieeexplore.ieee.org, IEEE Security & Privacy,https://ieeexplore.ieee.org/abstract/document/5189558/,4
47,Shiral,Collage captcha,63,2007, ieeexplore.ieee.org, 2007 9th International …,https://ieeexplore.ieee.org/abstract/document/4555329/,4
40,Shiral,Drawing captcha,62,2006, ieeexplore.ieee.org, 28th International …,https://ieeexplore.ieee.org/abstract/document/1708527/,3
17,"Imsamai, S Phimoltares",3D CAPTCHA: A next generation of the CAPTCHA,58,2010, ieeexplore.ieee.org, 2010 International Conference on …,https://ieeexplore.ieee.org/abstract/document/5480258/,4
46,"Sauer, H Hochheiser, J Feng, J Lazar",Towards a universally usable CAPTCHA,57,2008, cups.cs.cmu.edu,,https://cups.cs.cmu.edu/soups/2008/SOAPS/sauer.pdf,4
88,"Yan, AS El Ahmad",Captcha robustness: A security engineering perspective,56,2010, ieeexplore.ieee.org, Computer,https://ieeexplore.ieee.org/abstract/document/5601666/,4
18,"Roshanbin, J Miller",A survey and analysis of current captcha approaches,55,2013, journals.riverpublishers.com, Journal of Web Engineering,https://journals.riverpublishers.com/index.php/JWE/article/view/4173,5
3,"Moradi, MR Keyvanpour",CAPTCHA and its Alternatives: A Review,55,2015, Wiley Online Library, Security and Communication …,https://onlinelibrary.wiley.com/doi/abs/10.1002/sec.1157,6
22,"Chen, X Luo, Y Guo, Y Zhang, D Gong",A survey on breaking technique of text-based CAPTCHA,55,2017, hindawi.com, Security and …,https://www.hindawi.com/journals/scn/2017/6898617/abs/,8
50," Almazyad, Y Ahmad…",Multi-modal captcha: A user verification scheme,52,2011, ieeexplore.ieee.org, … Conference on Information …,https://ieeexplore.ieee.org/abstract/document/5772421/,4
73," Saini, A Bala",A review of bot protection using CAPTCHA for web security,51,2013, Citeseer, IOSR Journal of Computer Engineering,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b67e943b0c8feca317b4c44ca82d525e20132959,5
42," Chandavale, AM Sapkal…",Algorithm to break visual CAPTCHA,50,2009, ieeexplore.ieee.org, … on Emerging Trends in …,https://ieeexplore.ieee.org/abstract/document/5395072/,3
87,"Khan, T Shah, SI Batool",A new implementation of chaotic S-boxes in CAPTCHA,50,2016, Springer, Signal  Image and Video Processing,https://link.springer.com/article/10.1007/s11760-014-0741-5,6
77,"Lin, F Lin, Y Lv, F Cai, D Cao",Chinese character CAPTCHA recognition and performance estimation via deep neural network,48,2018, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231217319185,8
55," Cui, JT Mei, X Wang, D Zhang…",A captcha implementation based on 3d animation,47,2009, ieeexplore.ieee.org, 2009 International …,https://ieeexplore.ieee.org/abstract/document/5368273/,3
59,Shiral,Question-based CAPTCHA,47,2007, ieeexplore.ieee.org, International Conference …,https://ieeexplore.ieee.org/abstract/document/4426449/,3
68,"Belk, C Fidas, P Germanakos, G Samaras",Do human cognitive differences in information processing affect preference and performance of CAPTCHA?,44,2015, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S1071581915001093,5
100,"Azad, K Jain",Captcha: Attacks and weaknesses against OCR technology,44,2013, core.ac.uk, Global Journal of Computer Science and Technology,https://core.ac.uk/download/pdf/231161502.pdf,4
10,A Hasan,A survey of current research on captcha,43,2016, academia.edu, Int. J. Comput. Sci. Eng. Surv.(IJCSES),https://www.academia.edu/download/60707636/7316ijcses0120190925-100925-fwuzg5.pdf,5
72,Shiral,Seesay and hearsay captcha for mobile interaction,43,2013, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/2470654.2481295,4
62," Alqahtani, FA Alsulaiman",Is image-based CAPTCHA secure against attacks based on machine learning? An experimental study,42,2020, Elsevier, Computers & Security,https://www.sciencedirect.com/science/article/pii/S0167404818312185,10
95,"Desai, P Patadia",Drag and drop: A better approach to CAPTCHA,42,2009, ieeexplore.ieee.org, 2009 Annual IEEE India Conference,https://ieeexplore.ieee.org/abstract/document/5409359/,3
75," Jeng, CC Tseng, DF Tseng, JC Wang",A study of CAPTCHA and its application to user authentication,42,2010, Springer, … 12  2010  Proceedings  Part II 2,https://link.springer.com/chapter/10.1007/978-3-642-16732-4_46,3
96, Kluever,Evaluating the Usability and Security of a Video CAPTCHA,42,2008, search.proquest.com,,https://search.proquest.com/openview/75857d7d030cc7fde9f9d4c61b07111c/1?pq-origsite=gscholar&cbl=18750,3
43,"Awasthi, AP Srivastava, S Srivastava…",A Comparative Study of Various CAPTCHA Methods for Securing Web Pages,41,2019, ieeexplore.ieee.org, 2019 International …,https://ieeexplore.ieee.org/abstract/document/8776832/,8
76,Shiral,Advanced collage captcha,39,2008, ieeexplore.ieee.org, … : New Generations (itng …,https://ieeexplore.ieee.org/abstract/document/4492674/,2
6,"Kaur, S Behal",Captcha and its techniques: a review,37,2014, researchgate.net, International Journal of Computer Science and …,https://www.researchgate.net/profile/Sunny-Behal/publication/285110169_Captcha_and_Its_Techniques_A_Review/links/565bede108ae4988a7bb0d0c/Captcha-and-Its-Techniques-A-Review.pdf,4
52, Alsuhibany,Optimising CAPTCHA generation,35,2011, ieeexplore.ieee.org, 2011 Sixth International Conference on …,https://ieeexplore.ieee.org/abstract/document/6046030/,3
53,Shiral,Motion captcha,35,2008, ieeexplore.ieee.org, 2008 Conference on …,https://ieeexplore.ieee.org/abstract/document/4581589/,2
61,"Bostik, J Klecka",Recognition of CAPTCHA characters by supervised machine learning algorithms,34,2018, Elsevier,PapersOnLine,https://www.sciencedirect.com/science/article/pii/S2405896318309017,6
63,"Conti, C Guarisco, R Spolaor",CAPTCHaStar! A novel CAPTCHA based on interactive shape discovery,34,2016, Springer,22 …,https://link.springer.com/chapter/10.1007/978-3-319-39555-5_33,4
41,"Noury, M Rezaei",Deep-CAPTCHA: a deep learning based CAPTCHA solver for vulnerability assessment,33,2020, arxiv.org, arXiv preprint arXiv:2006.08296,https://arxiv.org/abs/2006.08296,8
66,Shiral,Accessibility of CAPTCHA methods,31,2011, dl.acm.org, … of the 4th ACM workshop on …,https://dl.acm.org/doi/abs/10.1145/2046684.2046704,2
93,Lin,A case study of text-based CAPTCHA attacks,31,2012, ieeexplore.ieee.org, 2012 International Conference on Cyber …,https://ieeexplore.ieee.org/abstract/document/6384954/,3
8,"Guerar, L Verderame, M Migliardi…",Gotta CAPTCHA'Em all: a survey of 20 Years of the human-or-computer Dilemma,29,2021, dl.acm.org, ACM Computing …,https://dl.acm.org/doi/abs/10.1145/3477142,10
57,"Weng, B Zhao, S Ji, J Chen, T Wang…",Towards understanding the security of modern image captchas and underground captcha-solving services,29,2019, ieeexplore.ieee.org, Big Data Mining and …,https://ieeexplore.ieee.org/abstract/document/8665729/,6
97," Begum, MV Rao",Collaborative Tagging Using CAPTCHA,28,2015, core.ac.uk, … Journal of Innovative Technology And Research …,https://core.ac.uk/download/pdf/228547408.pdf,3
32,"Zhang, H Gao, G Pei, S Luo…",A survey of research on captcha designing and breaking techniques,26,2019, ieeexplore.ieee.org, 2019 18th IEEE …,https://ieeexplore.ieee.org/abstract/document/8887344/,5
89,"Chen, X Luo, Y Liu, J Wang, Y Ma",Selective learning confusion class for text-based CAPTCHA recognition,26,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8639921/,5
69,"Goswami, BM Powell, M Vatsa, R Singh, A Noore",FR-CAPTCHA: CAPTCHA based on recognizing human faces,25,2014, journals.plos.org, PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091708,2
84,"Fanelle, S Karimi, A Shah, B Subramanian…",Blind and human: Exploring more usable audio {CAPTCHA} designs,25,2020, usenix.org, Sixteenth Symposium on …,https://www.usenix.org/conference/soups2020/presentation/fanelle,6
85,"Gafni, I Nagar",CAPTCHA–Security affecting user experience,25,2016, iisit.org, Issues in Informing Science and Information …,http://iisit.org/Vol13/IISITv13p063-077Gafni2609.pdf,3
49,"BH Ali, FB Karim",Development of CAPTCHA system based on puzzle,24,2014, ieeexplore.ieee.org, 2014 International Conference on …,https://ieeexplore.ieee.org/abstract/document/6914219/,2
92,"Wang, H Gao, Z Shi, Z Yuan, J Hu",Simple and easy: Transfer learning-based attacks to text CAPTCHA,23,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9045951/,6
39,"Xu, L Liu, B Li",A survey of CAPTCHA technologies to distinguish between human and computer,22,2020, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231220304896,6
81,"Shi, S Ji, Q Liu, C Liu, Y Chen, Y He, Z Liu…",Text captcha is dead? a large scale deployment and empirical study,19,2020, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3372297.3417258,5
91," Chow, W Susilo, P Thorncharoensri",CAPTCHA design and security issues,18,2019, Springer, Advances in Cyber Security …,https://link.springer.com/chapter/10.1007/978-981-13-1483-4_4,4
90,"Hosam, R Abousamra",Enhancing deep training of image landmarking with image CAPTCHA,17,2022, ieeexplore.ieee.org, 2022 8th International Conference …,https://ieeexplore.ieee.org/abstract/document/9863967/,8
94," Chen, YW Wang, WP Fang",A study on captcha recognition,17,2014, ieeexplore.ieee.org, 2014 Tenth International …,https://ieeexplore.ieee.org/abstract/document/6998351/,2
64,"Kumar, MK Jindal, M Kumar","A systematic survey on CAPTCHA recognition: types, creation and breaking techniques",16,2022, Springer, Archives of Computational Methods in …,https://link.springer.com/article/10.1007/s11831-021-09608-4,8
78,"Feng, Q Cao, H Qi, S Ruoti",SenCAPTCHA: A mobile-first CAPTCHA using orientation sensors,15,2020, dl.acm.org, Proceedings of the ACM on Interactive …,https://dl.acm.org/doi/abs/10.1145/3397312,4
60,"Wang, Y Wei, M Zhang, Y Liu, B Wang",Make complex captchas simple: a fast text captcha solver based on a small number of samples,13,2021, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025521007301,4
86,"Gao, H Gao, S Luo, Y Zi, S Zhang, W Mao…",Research on the security of visual reasoning {CAPTCHA},8,2021, usenix.org, 30th USENIX security …,https://www.usenix.org/conference/usenixsecurity21/presentation/gao,3
74,"Kumar, MK Jindal, M Kumar",Design of innovative CAPTCHA for hindi language,5,2022, Springer, Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-021-06686-0,2
33,"Zhang, MY Tsai, K Kitchat, MT Sun, K Sakai…",A secure annuli CAPTCHA system,3,2023, Elsevier, Computers & …,https://www.sciencedirect.com/science/article/pii/S0167404822004175,3
80,"Wang, H Gao, X Guo, C Xiao, F Qi, Z Yan",An Experimental Investigation of Text-based CAPTCHA Attacks and Their Robustness,3,2023, dl.acm.org, ACM Computing Surveys,https://dl.acm.org/doi/abs/10.1145/3559754,3
99,"Wang, H Gao, C Xiao, X Guo…",Extended research on the security of visual reasoning captcha,2,2023, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10023959/,2
51,"Gutub, N Kheshaifaty",Practicality analysis of utilizing text-based CAPTCHA vs. graphic-based CAPTCHA authentication,2,2023, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-023-15586-5,2
